UPC,Name,Link,Current Price,Regular Price,Sale Price
195365398401,Boys 4-7 ZeroXposur Marine Sun Top & Shorts Set,https://www.kohls.com/product/prd-5813891/boys-4-7-zeroxposur-marine-sun-top-shorts-set.jsp?color=Blue&prdPV=125,24.00,48.00,24.00
825664925496,Toddler Boy Nike Performance Swoosh Shorts,https://www.kohls.com/product/prd-5927981/toddler-boy-nike-performance-swoosh-shorts.jsp?color=Red&prdPV=126,12.00,20.00,12.00
196019118475,Disney's Mickey Mouse Toddler Boy Rash Guard Top & Striped Swim Trunks Set by Jumping Beans®,https://www.kohls.com/product/prd-5871811/disneys-mickey-mouse-toddler-boy-rash-guard-top-striped-swim-trunks-set-by-jumping-beans.jsp?prdPV=127,16.99,34.00,16.99
400372089533,Girls 4-12 Jumping Beans® 2-pack Shortie Shorts,https://www.kohls.com/product/prd-6197050/girls-4-12-jumping-beans-2-pack-shortie-shorts.jsp?color=Black Pink&prdPV=128,8.99,20.00 Orig,8.99
196019135984,Girls 4-16 SO® Tie Dye Rashguard Top & Bottoms Swimsuit Set,https://www.kohls.com/product/prd-5941343/girls-4-16-so-tie-dye-rashguard-top-bottoms-swimsuit-set.jsp?prdPV=129,20.00,40.00,20.00
196027253175,Toddler Boy Marvel Spider-Man 4 Piece Pajama Set,https://www.kohls.com/product/prd-5758026/toddler-boy-marvel-spider-man-4-piece-pajama-set.jsp?prdPV=130,24.00,40.00,24.00
400612928400,Boys 8-20 Sonoma Goods For Life® Above the Knee Pull-On Shorts in Regular & Husky,https://www.kohls.com/product/prd-5933673/boys-8-20-sonoma-goods-for-life-above-the-knee-pull-on-shorts-in-regular-husky.jsp?color=Canyon Sand&prdPV=131,12.99,26.00,12.99
400310964748,Baby & Toddler Little Co. by Lauren Conrad Organic Graphic Tee,https://www.kohls.com/product/prd-5815711/baby-toddler-little-co-by-lauren-conrad-organic-graphic-tee.jsp?color=Local&prdPV=132,10.80,18.00 Orig,10.80
400763946902,Toddler Girl Jumping Beans® Ruffle Shortie Shorts,https://www.kohls.com/product/prd-5891143/toddler-girl-jumping-beans-ruffle-shortie-shorts.jsp?color=Purple Tie Dye&prdPV=133,5.99,10.00,5.99
807421701574,Boys 8-20 Hurley Stretch Hybrid Pull-On Shorts,https://www.kohls.com/product/prd-5561652/boys-8-20-hurley-stretch-hybrid-pull-on-shorts.jsp?color=Black&prdPV=134,22.80,38.00,22.80
400293316787,Girls 4-12 Jumping Beans® French Terry Shorts,https://www.kohls.com/product/prd-5942250/girls-4-12-jumping-beans-french-terry-shorts.jsp?color=Purple Tie Dye&prdPV=135,6.99,12.00,6.99
196019122588,Boys 6-20 Sonoma Goods For Life® Rash Guard & Board Shorts Swim Set,https://www.kohls.com/product/prd-5878939/boys-6-20-sonoma-goods-for-life-rash-guard-board-shorts-swim-set.jsp?color=Aloha Pineapple Navy&prdPV=136,28.80,48.00,28.80
196062224406,Girls Hanes Ultimate® 14-Pack Cotton Brief Panties,https://www.kohls.com/product/prd-3857536/girls-hanes-ultimate-14-pack-cotton-brief-panties.jsp?prdPV=137,14.99,22.00,14.99
400297348838,Girls 7-20 Tek Gear® Skort in Regular & Plus,https://www.kohls.com/product/prd-5220999/girls-7-20-tek-gear-skort-in-regular-plus.jsp?color=Shy Green Glitter&prdPV=138,17.99,25.00,17.99
